T_out,T_in_init,T_set,tau,COP,t_critical,E_at_critical,iterations,converged
34,32,22,9,4.0,5.4536,7.2,13,True
34,32,22,12,2.6,7.2741,11.0769,13,True
34,32,22,12,3.0,7.2741,9.6,13,True
34,32,22,12,3.3,7.2741,8.7273,13,True
34,32,22,12,3.6,7.2741,8.0,13,True
34,32,22,12,4.0,7.2741,7.2,13,True
34,32,24,2,2.6,1.1882,9.2308,13,True
34,32,24,2,3.0,1.1882,8.0,13,True
34,32,24,2,3.3,1.1882,7.2727,13,True
34,32,24,2,3.6,1.1882,6.6667,13,True
34,32,24,2,4.0,1.1882,6.0,13,True
34,32,24,4,2.6,2.3727,9.2308,13,True
34,32,24,4,3.0,2.3727,8.0,13,True
34,32,24,4,3.3,2.3727,7.2727,13,True
34,32,24,4,3.6,2.3727,6.6667,13,True
34,32,24,4,4.0,2.3727,6.0,13,True
34,32,24,6,2.6,3.5572,9.2308,13,True
34,32,24,6,3.0,3.5572,8.0,13,True
34,32,24,6,3.3,3.5572,7.2727,13,True
34,32,24,6,3.6,3.5572,6.6667,13,True
34,32,24,6,4.0,3.5572,6.0,13,True
34,32,24,9,2.6,5.3369,9.2308,13,True
34,32,24,9,3.0,5.3369,8.0,13,True
34,32,24,9,3.3,5.3369,7.2727,13,True
34,32,24,9,3.6,5.3369,6.6667,13,True
34,32,24,9,4.0,5.3369,6.0,13,True
34,32,24,12,2.6,7.1165,9.2308,13,True
34,32,24,12,3.0,7.1165,8.0,13,True
34,32,24,12,3.3,7.1165,7.2727,13,True
34,32,24,12,3.6,7.1165,6.6667,13,True
34,32,24,12,4.0,7.1165,6.0,13,True
34,32,26,2,2.6,1.1474,7.3846,13,True
34,32,26,2,3.0,1.1474,6.4,13,True
34,32,26,2,3.3,1.1474,5.8182,13,True
34,32,26,2,3.6,1.1474,5.3333,13,True
34,32,26,2,4.0,1.1474,4.8,13,True
34,32,26,4,2.6,2.291,7.3846,13,True
34,32,26,4,3.0,2.291,6.4,13,True
34,32,26,4,3.3,2.291,5.8182,13,True
34,32,26,4,3.6,2.291,5.3333,13,True
34,32,26,4,4.0,2.291,4.8,13,True
34,32,26,6,2.6,3.4347,7.3846,13,True
